total_funding_usd,category,number_of_funding_rounds,number_of_business_milestones,relationships,number_of_employees,company_age,region
0,NA,0,1,2,NA,NA,NA
11e6,enterprise,1,1,3,190,10,Europe
475500,ecommerce,5,NA,4,NA,1,Americas
0,web,0,1,1,2,3,Asia
0,NA,0,1,2,NA,NA,NA
3741520,network_hosting,3,2,5,NA,13,Americas
4e7,software,4,2,10,NA,9,Asia
1e5,NA,1,2,2,NA,NA,Americas
3371350,software,1,1,4,NA,13,Americas
0,NA,0,NA,1,NA,NA,NA
0,web,0,1,2,10,0,Oceania
175e3,enterprise,1,NA,4,15,13,Americas
155e5,mobile,2,2,3,24,1,Americas
27e6,ecommerce,2,NA,1,NA,6,NA
0,ecommerce,0,NA,NA,12,NA,Americas
506e5,mobile,3,3,17,175,3,Europe
6713120,biotech,4,NA,4,NA,6,Americas
0,advertising,0,NA,1,5,20,Americas
16e5,NA,1,NA,NA,NA,NA,Europe
0,software,0,1,1,80,2,Americas
0,NA,0,1,5,NA,16,Americas
26e5,hardware,1,NA,NA,NA,6,Europe
5e7,biotech,1,NA,3,NA,14,Americas
13e4,software,1,2,5,4,2,Europe
0,software,0,1,2,5,1,Europe
0,other,0,NA,NA,20,NA,Europe
2e5,ecommerce,1,1,1,1,3,Europe
0,web,0,3,3,30,10,Europe
11e5,news,2,3,2,2,2,Europe
702800,travel,1,1,1,7,2,Europe
0,NA,0,NA,NA,NA,NA,NA
0,ecommerce,0,1,1,7,5,Asia
6769900,cleantech,2,NA,4,NA,1,Americas
0,software,0,NA,NA,NA,1,Asia
12e3,software,1,1,2,2,4,Americas
11e6,software,2,1,NA,NA,8,Americas
0,software,0,1,4,70,4,Americas
0,enterprise,0,NA,NA,NA,2,NA
6478276,biotech,2,NA,1,NA,25,Americas
0,ecommerce,0,1,3,3,2,Europe
0,games_video,0,2,2,2,4,Americas
1682618,public_relations,4,1,7,3,6,Americas
15e4,games_video,1,1,3,4,2,Americas
1e5,sports,1,NA,1,NA,8,Americas
0,analytics,0,NA,2,NA,NA,Americas
0,finance,0,NA,NA,NA,NA,NA
285e5,web,4,3,7,85,7,Americas
0,other,0,1,2,2,5,Americas
2e5,mobile,1,2,4,3,1,Americas
0,software,0,1,5,8,2,Americas
87e4,enterprise,2,1,4,6,2,Americas
0,web,0,1,1,8,0,Asia
4213350,mobile,3,3,5,8,3,Americas
285e4,hardware,1,NA,NA,NA,NA,Americas
4e6,web,1,1,4,7,2,Americas
5e5,medical,1,NA,2,NA,6,Americas
3e6,social,2,1,3,12,6,Europe
747936,analytics,1,1,1,3,2,Europe
0,consulting,0,1,1,2,4,Europe
35e4,other,1,NA,1,NA,NA,Americas
0,other,0,1,3,2,4,Americas
0,software,0,1,2,2,2,Americas
0,mobile,0,1,1,7,3,Europe
275e4,travel,1,1,2,25,3,Europe
0,NA,0,1,1,NA,NA,NA
0,sports,0,NA,NA,NA,NA,NA
225e4,health,2,2,10,12,3,Americas
16e3,software,1,1,2,3,1,NA
75e4,advertising,2,4,6,NA,3,Asia
135e4,software,2,1,9,19,2,Americas
0,network_hosting,0,1,1,5,3,Americas
0,other,0,3,4,10,3,Europe
0,software,0,NA,NA,250,3,Asia
1e5,education,1,2,2,2,1,Americas
12e5,enterprise,1,1,10,20,3,Americas
0,software,0,1,2,15,7,Europe
0,other,0,1,7,6000,41,Europe
1e6,enterprise,1,3,5,10,6,Asia
2945400,web,1,1,2,14,1,Europe
0,advertising,1,1,3,16,6,Europe
0,software,0,NA,NA,NA,NA,Asia
0,ecommerce,0,1,1,5,2,Americas
0,consulting,0,1,2,8,4,Europe
55e5,mobile,3,2,3,11,2,Americas
16e3,mobile,1,1,2,4,2,Europe
0,web,1,1,2,8,1,Asia
7481854,advertising,3,3,10,10,5,Americas
0,other,0,NA,NA,10,3,NA
90125,web,3,2,2,5,1,Europe
1e6,web,1,2,3,NA,2,Americas
1e6,social,1,1,2,15,2,Asia
0,NA,0,1,11,NA,NA,NA
0,other,0,1,4,4,2,Americas
6e6,web,2,3,4,5,3,Americas
5e6,public_relations,1,1,1,NA,17,Americas
0,legal,0,1,4,15,19,Americas
0,other,0,2,5,3,6,Americas
0,other,0,NA,NA,10,5,NA
1511273,biotech,2,NA,2,NA,NA,Europe
0,ecommerce,0,3,4,75,6,Europe
0,software,0,1,3,10,5,Asia
125e5,software,4,NA,4,NA,NA,Americas
0,NA,0,NA,NA,NA,NA,NA
5e6,advertising,2,3,7,700,15,Americas
16e4,software,2,1,4,5,3,Americas
3325e4,other,3,1,10,NA,11,Americas
24e5,software,2,1,1,NA,1,Americas
0,ecommerce,0,1,2,6,10,Americas
13e6,news,2,2,4,5,2,Americas
0,NA,0,NA,2,NA,NA,Asia
1e5,enterprise,1,1,5,4,1,Americas
51e4,biotech,1,NA,2,NA,NA,Europe
462e4,analytics,5,2,9,25,6,Europe
125e3,enterprise,1,1,4,5,1,Americas
0,mobile,1,1,2,25,5,Asia
0,software,0,1,3,2,1,Europe
5e4,enterprise,1,1,2,2,3,Europe
2687e3,ecommerce,1,2,4,NA,5,Europe
0,software,0,1,1,6,2,Americas
5e6,finance,2,NA,NA,NA,1,Americas
51e5,health,1,NA,1,NA,2,Americas
0,mobile,0,1,2,2,1,Asia
0,other,0,1,1,9,NA,Europe
2e6,games_video,1,NA,1,NA,NA,Americas
0,enterprise,0,1,1,5,2,Asia
41e6,biotech,2,NA,NA,NA,11,Europe
0,software,0,1,15,15,14,Europe
0,software,0,1,4,NA,3,Americas
101e5,network_hosting,1,1,3,250,13,Europe
9e7,other,2,1,3,800,3,Americas
15e6,NA,1,2,6,NA,1,Americas
0,consulting,0,1,5,30,3,Europe
0,games_video,0,1,3,3,2,Americas
0,software,0,1,2,3,2,Europe
0,sports,0,NA,NA,NA,NA,NA
0,other,0,NA,NA,1,NA,NA
12094040,biotech,1,NA,2,NA,7,Europe
1e5,hospitality,2,1,2,8,3,Americas
15e5,enterprise,1,2,3,NA,4,Americas
3e4,manufacturing,1,NA,NA,NA,2,Americas
0,education,0,NA,NA,2,2,NA
0,games_video,0,1,1,4,3,Americas
0,network_hosting,0,1,2,30,7,Europe
5e6,biotech,1,NA,1,NA,2,Americas
0,software,0,1,8,13,4,Americas
3e6,web,2,3,12,10,6,Americas
0,NA,0,1,1,NA,NA,NA
956e4,analytics,3,2,13,NA,3,Americas
0,web,0,1,1,2,7,Americas
0,search,0,2,19,90,13,Americas
0,web,0,1,1,10,3,NA
0,advertising,0,3,6,100,5,Americas
75e4,social,1,1,1,2,2,Americas
0,NA,0,1,1,NA,NA,NA
0,software,0,2,4,10,5,Americas
0,other,0,2,2,300,29,Europe
485398,biotech,2,NA,NA,NA,9,Americas
14720080,games_video,3,3,6,107,5,Europe
1e7,web,1,2,2,NA,4,Americas
0,mobile,0,1,6,10,8,Americas
527590,web,1,1,1,9,5,Europe
39682384,biotech,9,3,14,60,6,Americas
5e5,games_video,1,2,3,3,7,Americas
6e6,other,1,NA,2,NA,NA,Americas
0,games_video,0,NA,NA,6,4,NA
0,NA,0,NA,NA,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,games_video,0,NA,1,2,6,Americas
0,NA,0,NA,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
2e6,enterprise,3,2,11,35,2,Asia
25e5,mobile,1,3,2,NA,3,Americas
0,ecommerce,0,1,1,8,1,Asia
125e4,public_relations,2,1,3,8,7,Americas
0,software,0,NA,1,NA,5,Europe
0,other,0,1,2,2,3,Europe
0,advertising,0,1,5,5,5,Americas
3e4,advertising,1,1,1,27,6,Americas
385e5,security,3,3,20,100,12,Americas
1286600,software,1,NA,1,NA,1,Americas
0,NA,0,NA,1,NA,NA,NA
828572,NA,1,1,1,NA,4,Americas
0,NA,0,1,1,NA,NA,NA
1e5,web,1,NA,NA,NA,1,Americas
11e5,software,1,NA,NA,NA,15,Europe
11700,mobile,1,1,6,NA,0,Asia
0,hardware,1,NA,NA,NA,NA,NA
25e4,web,1,1,1,6,2,Oceania
0,games_video,0,1,3,3,2,Americas
0,advertising,0,NA,NA,NA,NA,NA
0,legal,0,NA,NA,NA,2,Americas
0,legal,0,1,1,50,8,Americas
248e4,software,1,NA,6,NA,28,Americas
2e4,enterprise,1,NA,4,4,3,Americas
0,advertising,0,1,1,10,8,Asia
7409850,fashion,2,1,2,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,software,0,1,1,4,2,Oceania
3380634,hospitality,2,1,2,11,2,Asia
0,software,0,2,2,10,6,Europe
0,other,0,1,4,4,4,Europe
0,web,0,NA,NA,NA,NA,NA
0,games_video,0,NA,NA,NA,NA,NA
1e5,ecommerce,1,NA,NA,3,2,Americas
0,mobile,0,1,1,10,1,Europe
1e6,search,1,NA,2,1,14,Americas
0,mobile,0,NA,3,70,11,Europe
0,network_hosting,0,2,1,15,7,Europe
15e4,mobile,1,2,2,2,1,Americas
2156061,cleantech,1,NA,2,NA,NA,Americas
15e4,consulting,1,NA,3,NA,0,Americas
0,other,0,NA,NA,25,15,NA
0,enterprise,0,3,7,6,2,Europe
40284e3,medical,2,1,24,NA,9,Americas
0,consulting,0,1,1,3000,33,Americas
35e6,search,1,4,4,12,13,Europe
0,NA,0,NA,NA,NA,NA,NA
0,enterprise,0,1,NA,NA,14,Americas
4e5,social,1,1,2,10,1,NA
5419600,NA,1,2,3,NA,NA,Europe
72e5,biotech,1,NA,2,NA,NA,Americas
26e5,ecommerce,1,1,8,NA,4,Americas
0,NA,0,1,1,NA,NA,NA
0,other,0,1,2,20,13,Americas
7e6,finance,2,1,4,10,2,Americas
0,NA,0,NA,NA,NA,1,Europe
318e3,enterprise,3,1,2,4,2,Americas
0,ecommerce,0,2,1,27,8,Americas
25e3,games_video,1,1,3,4,3,NA
0,NA,0,1,1,NA,NA,NA
0,cleantech,0,1,1,2,1,Americas
24e6,software,1,1,1,NA,1,Asia
235e4,mobile,2,1,1,NA,3,Americas
5e5,public_relations,1,3,4,NA,2,Americas
6e5,analytics,1,2,2,5,1,Americas
0,mobile,0,1,1,4,2,NA
5e6,security,1,2,15,NA,13,Americas
27e5,travel,1,1,5,NA,8,Americas
0,legal,0,1,1,1,8,Americas
3278e3,biotech,2,NA,NA,NA,17,Americas
6e5,hardware,1,NA,NA,NA,NA,Americas
1017026,analytics,1,NA,NA,2,1,Americas
1613014,biotech,1,NA,1,NA,16,Americas
0,web,0,1,3,10,7,Americas
0,NA,0,NA,1,NA,NA,NA
75e5,cleantech,1,NA,NA,NA,NA,Americas
25e3,software,3,1,NA,5,8,NA
0,NA,0,1,1,NA,NA,NA
5e6,ecommerce,1,1,4,NA,4,Americas
0,web,0,NA,1,NA,NA,Europe
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
141e6,enterprise,5,3,30,230,5,Americas
59e6,web,3,NA,1,200,8,Asia
725e4,web,1,3,33,400,10,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,3,NA,NA,NA
0,public_relations,0,NA,1,10,14,NA
0,software,0,NA,NA,NA,NA,NA
3e5,social,1,1,2,NA,2,Europe
3697600,messaging,3,2,2,30,3,Europe
0,NA,0,NA,1,NA,NA,NA
372e3,search,2,1,4,6,4,Americas
69e5,enterprise,2,2,5,15,1,Americas
0,web,0,1,2,2,6,Oceania
3e6,consulting,1,1,30,35,3,Americas
4205e3,mobile,5,2,5,18,5,Europe
0,NA,0,NA,1,NA,NA,NA
25e5,consulting,2,2,5,15,6,Americas
25e4,web,1,1,7,NA,6,Americas
0,other,0,1,2,4,3,Americas
0,advertising,0,2,13,12,14,Americas
1e6,NA,1,NA,NA,NA,NA,Americas
0,web,0,1,NA,3,1,NA
0,mobile,0,1,3,5,2,Europe
0,software,0,1,6,50,6,Oceania
0,web,0,1,1,6,9,Europe
0,software,0,1,1,1,2,NA
103e6,education,1,2,10,150,18,Americas
0,advertising,0,1,1,15,4,Europe
0,NA,0,NA,1,NA,NA,NA
0,web,0,1,3,10,3,Americas
87e6,hardware,5,2,16,100,11,Americas
0,consulting,0,1,1,NA,1,Europe
0,other,0,1,5,5,9,Americas
0,NA,0,NA,1,NA,NA,NA
825480,health,1,1,3,NA,6,Americas
244e5,biotech,5,NA,1,NA,5,Americas
14499990,enterprise,4,1,16,40,8,Americas
55e5,mobile,1,1,14,50,5,Europe
0,software,0,1,2,54,8,Americas
578e5,ecommerce,6,3,33,120,7,Americas
32e5,finance,1,NA,1,NA,16,Americas
41e4,security,2,1,9,4,1,Americas
3e5,games_video,1,2,4,10,3,Americas
2e5,health,1,NA,NA,NA,3,Americas
55e4,design,1,2,2,4,2,Oceania
0,consulting,0,2,9,15,1,Americas
1e6,enterprise,1,3,7,NA,6,Americas
0,consulting,0,1,1,15,16,Americas
13410901,enterprise,2,3,14,150,14,Americas
15e5,sports,2,2,5,15,7,Americas
979e3,hardware,1,NA,NA,NA,9,Europe
585e4,mobile,3,NA,NA,NA,3,Americas
0,software,0,1,2,2,5,Europe
0,NA,0,1,1,NA,NA,NA
0,software,0,2,2,2,6,Americas
0,web,0,1,3,20,3,Americas
192660,web,1,3,3,6,3,Europe
134102,fashion,2,1,1,7,4,Asia
1616176,software,1,1,2,30,9,Americas
15e5,analytics,1,1,7,20,3,Americas
8e6,software,1,3,9,40,4,Americas
0,software,0,1,1,1,3,Americas
0,software,0,1,1,4,2,Europe
25e5,software,1,1,2,10,1,Asia
249e4,photo_video,3,3,7,3,1,Americas
15e6,mobile,1,1,12,NA,12,Americas
0,web,0,3,3,2,4,Europe
28e4,software,1,2,2,5,6,Americas
1e4,ecommerce,1,NA,2,NA,0,Americas
652750,other,2,NA,NA,12,7,Americas
0,public_relations,0,1,1,15,7,Europe
2e4,enterprise,1,1,3,15,6,Asia
0,NA,0,NA,1,NA,NA,NA
17e4,education,2,1,1,5,1,Americas
0,advertising,0,1,1,50,2,Asia
1348e3,health,1,1,2,30,2,Europe
0,consulting,0,NA,NA,5,3,Americas
6564102,biotech,1,NA,3,NA,2,Americas
0,NA,0,1,1,NA,NA,NA
2275e4,web,3,3,10,52,6,Americas
0,NA,0,1,1,NA,NA,NA
21e5,biotech,1,NA,2,NA,10,Americas
0,ecommerce,0,NA,NA,5,1,Asia
251e4,web,3,3,9,5,2,Americas
0,NA,0,NA,1,NA,NA,NA
15e3,web,1,1,5,NA,3,NA
1e4,software,1,NA,2,3,6,Americas
0,mobile,0,1,2,5,0,Americas
0,web,1,1,3,17,3,Europe
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,other,0,1,2,10,9,Americas
0,other,0,1,2,5,1,Europe
0,NA,0,1,1,NA,NA,NA
0,games_video,0,1,1,5,3,Europe
75e5,ecommerce,3,1,4,40,8,Americas
0,biotech,0,1,2,NA,NA,Americas
246e5,software,4,1,19,NA,13,Americas
0,software,0,NA,NA,5,1,NA
175e4,web,1,1,2,14,1,Americas
17e4,NA,1,NA,NA,NA,NA,Americas
435e4,education,1,NA,3,NA,NA,Americas
0,hardware,1,2,4,5,3,Americas
0,web,0,1,2,3,3,Americas
15e5,social,1,1,2,NA,1,Asia
0,mobile,0,NA,NA,NA,5,NA
153453,games_video,1,1,2,5,3,Americas
25e5,travel,1,2,3,20,1,Americas
0,mobile,0,2,2,10,3,Europe
0,NA,0,NA,1,NA,NA,NA
815e3,NA,2,1,4,NA,NA,NA
0,consulting,0,1,1,7,3,Americas
0,NA,0,1,2,39,13,Europe
0,NA,0,1,1,NA,NA,NA
555e4,cleantech,2,1,1,NA,7,Americas
0,software,0,1,4,4,7,Americas
0,other,0,NA,NA,NA,2,NA
825e3,security,1,1,5,3,2,NA
2e5,web,1,NA,1,NA,NA,Americas
0,biotech,1,NA,NA,NA,NA,NA
3419051,biotech,1,NA,1,NA,NA,Americas
2574556,mobile,1,3,3,6,3,Americas
0,advertising,0,1,1,NA,NA,NA
25e4,web,1,2,3,5,3,Americas
0,public_relations,1,1,2,85,8,Europe
0,software,1,1,3,8,3,Americas
0,web,0,1,1,4,3,Europe
0,ecommerce,0,2,2,10,5,Americas
0,other,0,1,2,28,10,Asia
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,2,NA,NA,NA
1e7,enterprise,1,2,6,30,2,Americas
1e6,software,1,NA,NA,NA,NA,Americas
98348,manufacturing,1,1,6,NA,15,Europe
529e3,enterprise,1,NA,NA,NA,5,Oceania
0,advertising,0,1,4,4,2,Americas
0,consulting,0,2,1,10,4,Americas
28e6,advertising,2,1,14,NA,2,Americas
0,games_video,0,NA,2,3,2,Europe
0,software,0,1,2,3,6,Europe
0,software,0,1,7,7,2,Asia
0,fashion,0,NA,NA,NA,NA,NA
0,ecommerce,0,1,3,5,1,Americas
0,ecommerce,0,1,1,10,4,Asia
165e4,ecommerce,1,2,2,6,3,Americas
0,ecommerce,0,NA,NA,4,2,NA
183e5,music,3,3,11,40,4,Americas
22e6,games_video,2,3,9,130,5,Americas
1699790,education,3,3,3,8,2,Europe
31862082,enterprise,7,2,9,NA,13,Americas
6e6,software,1,1,2,NA,13,Americas
64875,software,2,1,3,3,1,Europe
3e4,web,1,1,1,3,3,Americas
0,software,0,1,2,10,1,Americas
1e3,real_estate,1,1,2,1,1,Americas
0,mobile,0,1,1,30,12,Asia
1e4,NA,1,1,2,NA,0,NA
0,NA,0,NA,NA,NA,NA,NA
0,consulting,0,1,1,14,1,Americas
304e4,software,1,NA,NA,NA,16,Europe
4e5,mobile,1,1,3,8,2,Europe
0,other,0,1,2,20,5,Americas
0,ecommerce,0,NA,NA,NA,3,NA
0,NA,0,NA,NA,NA,NA,NA
6e5,web,2,1,5,8,1,Americas
7e5,hospitality,2,1,5,11,1,Americas
0,advertising,0,1,3,21,2,NA
10351376,nonprofit,1,NA,NA,NA,NA,Europe
0,medical,0,NA,NA,NA,NA,NA
3e6,cleantech,1,NA,1,51,NA,Americas
13304657,enterprise,2,3,8,100,4,Americas
15606,software,2,1,1,NA,5,Europe
115e5,analytics,1,1,2,NA,5,Europe
3482300,music,4,3,10,11,5,Americas
789e3,hardware,1,NA,NA,NA,NA,Europe
0,NA,0,1,NA,NA,13,NA
18e5,mobile,2,2,4,10,3,Asia
16e7,medical,2,2,22,100,5,Americas
3e6,news,1,1,4,NA,NA,Americas
16e3,education,1,1,1,4,0,Americas
1e6,enterprise,1,2,3,8,3,Asia
3e5,mobile,2,2,7,6,2,Americas
0,NA,0,1,1,NA,NA,NA
1e6,advertising,1,2,1,10,3,Americas
5e5,enterprise,1,NA,4,6,2,Americas
25e6,software,1,NA,NA,NA,NA,Asia
97e6,biotech,3,NA,18,NA,8,Americas
45e4,mobile,2,1,4,10,2,Europe
11e5,software,1,NA,2,NA,3,Americas
3e4,finance,1,2,5,5,2,Americas
0,NA,0,1,1,NA,NA,NA
4e6,real_estate,1,1,7,50,5,Americas
0,NA,0,1,1,NA,NA,NA
7452566,medical,3,NA,3,NA,3,Americas
18e3,sports,1,2,5,5,3,Americas
55e5,social,2,2,17,95,3,Americas
0,web,0,NA,NA,NA,20,Americas
4e4,enterprise,1,1,1,3,1,Americas
0,software,0,1,1,25,9,Americas
1e5,games_video,1,1,1,3,2,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
2825e3,advertising,2,2,4,NA,2,Americas
0,NA,0,NA,NA,NA,NA,NA
0,education,0,1,4,3,2,Americas
191e5,enterprise,2,2,9,50,6,Americas
1002e5,social,3,3,5,30,3,Americas
0,software,0,1,1,2,3,Europe
0,NA,0,1,1,NA,NA,Americas
433e5,enterprise,4,2,22,500,6,Americas
3e5,software,1,NA,1,NA,NA,Oceania
0,public_relations,0,1,4,9,6,Americas
45e6,enterprise,4,3,7,105,14,Americas
8e6,software,1,1,6,NA,NA,Americas
2e6,travel,1,2,5,7,1,Americas
0,NA,0,1,1,NA,NA,NA
17e6,health,1,1,4,NA,9,Americas
8e5,health,1,2,2,4,3,Europe
75e3,public_relations,1,1,2,NA,NA,Americas
0,software,0,3,10,12,6,Europe
0,advertising,0,1,2,11,3,Europe
0,other,0,3,5,10,1,Europe
15e6,biotech,2,NA,1,NA,2,Americas
0,NA,0,NA,NA,NA,NA,NA
0,advertising,0,2,1,NA,3,Europe
825e3,games_video,1,2,4,4,2,Americas
0,software,0,1,3,3,2,Europe
16e4,fashion,1,1,1,4,2,Europe
0,NA,0,1,7,NA,NA,Europe
17e5,mobile,1,2,3,12,2,Asia
0,web,0,1,2,1,3,Americas
2874027,software,2,NA,1,NA,4,Americas
0,education,0,NA,1,10,NA,Europe
80571,web,1,2,1,5,2,Europe
0,consulting,0,NA,NA,2,15,Americas
0,web,0,1,2,4,2,Europe
0,software,0,1,1,1,1,NA
0,NA,0,1,2,NA,NA,NA
18e5,manufacturing,1,1,6,12,11,Americas
151e4,enterprise,5,2,4,7,2,Americas
0,education,0,1,2,35,3,Europe
5708020,news,5,3,8,NA,5,Americas
6245e4,web,3,3,9,NA,9,Americas
5e4,software,1,NA,5,8,1,Americas
0,games_video,0,1,3,150,16,Asia
0,consulting,0,2,1,25,7,Americas
0,software,0,NA,4,15,7,Americas
2e6,software,1,2,5,30,13,Africa
33999999,web,1,2,2,NA,NA,NA
0,education,0,1,2,15,10,Americas
0,web,0,NA,NA,12,1,NA
143083,social,2,1,1,3,2,Americas
103e6,games_video,4,1,9,NA,8,Americas
340525,public_relations,1,NA,1,11,8,Europe
0,NA,0,NA,NA,NA,NA,NA
9e6,social,2,2,8,NA,7,Europe
0,network_hosting,0,1,NA,3,1,NA
0,NA,0,NA,1,NA,NA,NA
23e5,web,1,1,5,7,4,Americas
1760006,network_hosting,1,1,5,NA,11,Americas
0,ecommerce,0,2,1,3,2,Americas
0,ecommerce,0,1,3,6,4,Europe
0,other,0,NA,NA,NA,NA,NA
537e5,hardware,6,3,7,NA,8,Americas
0,games_video,0,1,1,NA,7,Europe
0,enterprise,0,NA,1,3,2,Americas
2e6,software,1,1,6,10,2,Americas
21e5,cleantech,1,1,3,NA,12,Americas
0,NA,0,NA,NA,NA,NA,NA
325999,nonprofit,1,1,14,5,5,Europe
38e5,analytics,2,1,7,11,3,Americas
6954965,cleantech,1,1,5,NA,8,Europe
305e3,hardware,1,2,5,8,4,Americas
155019998,health,10,3,36,225,8,Americas
0,health,1,NA,NA,NA,NA,Americas
772e4,hospitality,2,2,10,10,3,Americas
173e5,mobile,2,4,14,19,8,Americas
1e5,medical,1,1,4,4,1,Americas
10103186,cleantech,2,NA,NA,NA,NA,Americas
3e6,medical,1,1,7,NA,NA,Americas
0,web,0,1,2,2,3,NA
0,NA,0,NA,NA,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,2,NA,NA,NA
67e6,biotech,2,1,18,NA,16,Americas
725e3,web,1,1,2,4,2,Americas
0,software,0,1,1,20,10,Europe
1e5,cleantech,1,NA,2,NA,2,Americas
15e4,consulting,1,NA,NA,NA,2,Africa
0,public_relations,0,1,2,43,13,Europe
0,enterprise,0,1,6,5,1,Americas
0,software,0,1,35,NA,14,Americas
3422e3,mobile,3,2,7,14,2,Americas
0,ecommerce,0,1,2,50,3,Europe
0,public_relations,0,1,2,80,12,Americas
15e5,ecommerce,1,1,10,10,3,Americas
66e4,software,1,NA,2,NA,NA,Americas
0,software,0,1,4,20,4,Europe
261360,ecommerce,2,1,5,NA,1,Americas
125e4,enterprise,1,NA,NA,NA,NA,Americas
1098900,ecommerce,1,1,3,20,3,Europe
25e4,biotech,1,NA,2,NA,5,Americas
197e5,software,1,NA,NA,103,13,Americas
0,NA,0,1,2,NA,NA,NA
15e6,medical,1,1,1,NA,4,Americas
0,advertising,0,1,1,10,6,Americas
0,mobile,0,1,3,3,4,Americas
1350500,search,1,2,5,12,7,Europe
0,NA,0,NA,2,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
75e4,other,1,NA,NA,NA,NA,Americas
0,music,0,NA,NA,NA,2,NA
0,ecommerce,0,1,1,6,1,Asia
570746,biotech,1,NA,2,NA,12,Americas
3e5,finance,1,NA,4,NA,NA,Europe
0,NA,0,NA,5,NA,9,Americas
6e5,biotech,1,NA,NA,NA,NA,Asia
0,software,0,1,3,1000,14,Americas
0,games_video,0,1,1,4,3,Asia
15e5,games_video,2,1,5,50,7,Asia
4797338,mobile,1,3,6,8,3,Americas
0,network_hosting,0,2,2,150,15,Americas
707e3,news,1,NA,1,19,NA,NA
0,other,0,1,1,2,3,NA
0,consulting,0,1,3,30,42,Americas
36940188,ecommerce,3,2,8,700,4,Asia
0,ecommerce,0,1,2,40,3,Americas
6536608,web,3,3,12,NA,7,Americas
0,NA,0,NA,1,NA,NA,Americas
75e5,NA,1,NA,NA,NA,NA,Asia
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,NA,NA,2,Americas
569500,security,1,NA,4,NA,NA,Americas
5e5,hardware,1,1,2,15,2,Americas
0,NA,0,1,1,NA,NA,NA
0,education,0,1,4,25,0,Europe
186e5,analytics,2,NA,3,NA,2,Americas
28e4,biotech,1,NA,NA,NA,9,Americas
22337902,advertising,4,2,10,40,3,Americas
1e5,web,1,1,6,3,0,Americas
0,NA,0,NA,NA,NA,NA,NA
3e6,software,1,NA,NA,35,4,Americas
20071510,fashion,3,2,1,NA,3,Americas
42e5,web,1,NA,3,12,6,NA
5e6,biotech,1,NA,NA,NA,NA,Americas
0,NA,0,NA,NA,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
49997,biotech,1,NA,1,NA,3,Americas
186200,manufacturing,2,NA,4,NA,10,Americas
55e5,web,1,NA,4,NA,1,Asia
0,advertising,0,NA,1,4,5,Americas
162e5,enterprise,2,1,2,NA,8,Americas
0,software,0,1,2,30,13,Americas
0,advertising,0,1,3,5,3,Americas
0,NA,0,NA,NA,NA,NA,NA
908e4,ecommerce,4,3,4,NA,4,Americas
0,NA,0,NA,NA,NA,NA,NA
11446e3,hospitality,2,1,1,NA,4,Europe
5844811,software,1,1,1,12,5,Americas
14069797,automotive,3,2,5,35,6,Americas
0,software,0,1,1,5,2,Americas
1528e3,ecommerce,3,1,4,5,2,Europe
6477e3,education,4,2,15,NA,5,Americas
7e5,software,1,1,4,4,1,Americas
738e3,software,1,NA,NA,NA,8,Europe
0,NA,0,NA,NA,NA,NA,NA
0,consulting,0,1,3,3,2,Europe
15270,social,1,1,3,2,8,Americas
0,mobile,0,1,2,4,1,Americas
0,web,0,1,2,10,8,Europe
0,advertising,0,1,4,5,4,Europe
2e6,biotech,1,NA,NA,NA,1,Americas
989e5,biotech,3,3,10,72,12,Americas
2e6,web,2,2,4,5,5,Americas
31012393,legal,1,2,3,105,13,Americas
12050840,mobile,4,2,6,75,4,Americas
16e5,legal,2,2,3,4,1,Americas
0,security,0,NA,NA,8,3,Americas
11819092,enterprise,2,1,17,NA,12,Americas
0,games_video,0,1,3,4,2,Europe
85e5,health,2,3,7,13,4,Americas
25e3,news,1,1,3,4,3,Americas
1202e4,consulting,2,2,5,1250,14,Americas
53e5,mobile,3,2,4,NA,9,Americas
0,software,0,NA,3,NA,2,NA
1e5,ecommerce,1,1,2,10,2,Americas
0,software,0,NA,NA,14,3,Europe
84e4,ecommerce,2,1,2,9,2,Asia
1e6,web,1,1,4,NA,NA,Europe
2e5,ecommerce,1,1,3,3,1,Americas
0,NA,0,1,1,NA,NA,NA
0,education,0,1,4,3,1,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
3075e4,software,2,2,12,NA,7,Americas
37e5,transportation,2,1,4,8,2,Americas
5e6,consulting,1,1,NA,NA,8,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
26676912,medical,3,1,9,NA,9,Americas
518e4,software,1,1,3,17,6,Europe
